0.0754,0.0448,0.0000,0.0000,0.0000,0.0149,0.9999,
0.1999,0.0672,0.0000,0.0000,0.0000,0.0318,0.9995,
0.2512,0.0754,0.0000,0.0000,0.0000,0.1010,0.9949,
0.2826,0.0645,0.0000,0.0000,0.0000,0.1716,0.9852,
0.3081,0.0777,0.0000,0.0000,0.0000,0.2365,0.9716,
0.3528,0.1096,0.0000,0.0000,0.0000,0.3142,0.9494,
0.3883,0.1268,0.0000,0.0000,0.0000,0.3751,0.9270,
0.4044,0.1723,0.0000,0.0000,0.0000,0.4256,0.9049,
0.4141,0.2095,0.0000,0.0000,0.0000,0.4792,0.8777,
0.4527,0.2772,0.0000,0.0000,0.0000,0.5366,0.8438,
0.4503,0.3165,0.0000,0.0000,0.0000,0.5884,0.8086,
0.4592,0.3556,0.0000,0.0000,0.0000,0.6433,0.7656,
0.4800,0.4454,0.0000,0.0000,0.0000,0.6629,0.7487,
0.4886,0.5374,0.0000,0.0000,0.0000,0.6789,0.7342,
0.4900,0.6491,0.0000,0.0000,0.0000,0.6940,0.7200,
0.4883,0.7331,0.0000,0.0000,0.0000,0.7007,0.7135,
0.4810,0.8395,0.0000,0.0000,0.0000,0.7063,0.7079,
0.4733,0.9191,0.0000,0.0000,0.0000,0.7218,0.6921,
0.4678,1.0305,0.0000,0.0000,0.0000,0.7253,0.6884,
0.4626,1.1229,0.0000,0.0000,0.0000,0.7223,0.6915,
0.4444,1.2493,0.0000,0.0000,0.0000,0.7311,0.6822,
0.4287,1.3321,0.0000,0.0000,0.0000,0.7317,0.6816,
0.4167,1.4611,0.0000,0.0000,0.0000,0.7407,0.6719,
0.4052,1.6040,0.0000,0.0000,0.0000,0.7437,0.6685,
0.3963,1.7420,0.0000,0.0000,0.0000,0.7394,0.6733,
0.3985,1.8528,0.0000,0.0000,0.0000,0.7032,0.7110,
0.4012,1.9122,0.0000,0.0000,0.0000,0.6621,0.7494,
0.4148,1.9847,0.0000,0.0000,0.0000,0.6128,0.7903,
0.4260,2.0275,0.0000,0.0000,0.0000,0.5528,0.8333,
0.4735,2.0664,0.0000,0.0000,0.0000,0.4632,0.8863,
0.5109,2.1204,0.0000,0.0000,0.0000,0.3826,0.9239,
0.5415,2.1567,0.0000,0.0000,0.0000,0.3168,0.9485,
0.5604,2.1814,0.0000,0.0000,0.0000,0.2430,0.9700,
0.6058,2.2237,0.0000,0.0000,0.0000,0.1552,0.9879,
0.7027,2.2600,0.0000,0.0000,0.0000,0.1131,0.9936,
0.8128,2.2901,0.0000,0.0000,0.0000,0.0494,0.9988,
0.9026,2.2794,0.0000,0.0000,0.0000,0.0383,0.9993,
0.9520,2.2787,0.0000,0.0000,0.0000,0.0454,0.9990,
1.0254,2.2900,0.0000,0.0000,0.0000,0.0645,0.9979,
1.1156,2.2941,0.0000,0.0000,0.0000,0.0583,0.9983,
1.1773,2.2943,0.0000,0.0000,0.0000,0.0395,0.9992,
1.2531,2.2943,0.0000,0.0000,0.0000,0.0329,0.9995,
1.3140,2.2827,0.0000,0.0000,0.0000,0.0468,0.9989,
1.3586,2.2837,0.0000,0.0000,0.0000,0.0623,0.9981,
1.3958,2.2894,0.0000,0.0000,0.0000,0.0692,0.9976,
1.4513,2.2907,0.0000,0.0000,0.0000,0.0686,0.9976,
1.5270,2.2933,0.0000,0.0000,0.0000,0.0780,0.9970,
1.6296,2.3174,0.0000,0.0000,0.0000,0.0700,0.9975,
1.7393,2.3289,0.0000,0.0000,0.0000,0.0690,0.9976,
1.8028,2.3207,0.0000,0.0000,0.0000,0.0820,0.9966,
1.8871,2.3472,0.0000,0.0000,0.0000,0.0208,0.9998,
1.9376,2.3488,0.0000,0.0000,0.0000,-0.0391,0.9992,
2.0181,2.3724,0.0000,0.0000,0.0000,-0.0876,0.9962,
2.1646,2.3949,0.0000,0.0000,0.0000,-0.1288,0.9917,
2.2701,2.4126,0.0000,0.0000,0.0000,-0.1697,0.9855,
2.4107,2.4167,0.0000,0.0000,0.0000,-0.2328,0.9725,
2.4988,2.4190,0.0000,0.0000,0.0000,-0.2885,0.9575,
2.6487,2.4193,0.0000,0.0000,0.0000,-0.3484,0.9374,
2.7710,2.4132,0.0000,0.0000,0.0000,-0.4065,0.9137,
2.8352,2.4010,0.0000,0.0000,0.0000,-0.4556,0.8902,
2.8684,2.3793,0.0000,0.0000,0.0000,-0.5134,0.8581,
2.9402,2.3444,0.0000,0.0000,0.0000,-0.5642,0.8256,
2.9949,2.2266,0.0000,0.0000,0.0000,-0.5752,0.8180,
3.0571,2.0879,0.0000,0.0000,0.0000,-0.6038,0.7971,
3.0984,1.9300,0.0000,0.0000,0.0000,-0.5989,0.8008,
3.1349,1.8124,0.0000,0.0000,0.0000,-0.6021,0.7984,
3.1624,1.6940,0.0000,0.0000,0.0000,-0.6123,0.7906,
3.1715,1.6179,0.0000,0.0000,0.0000,-0.6274,0.7787,
3.0781,1.6183,0.0000,0.0000,0.0000,-0.6018,0.7987,
3.0777,1.5649,0.0000,0.0000,0.0000,-0.6035,0.7973,
3.1986,1.4328,0.0000,0.0000,0.0000,-0.6520,0.7582,
3.1962,1.3907,0.0000,0.0000,0.0000,-0.6583,0.7527,
3.1345,1.3719,0.0000,0.0000,0.0000,-0.6403,0.7681,
3.1383,1.2613,0.0000,0.0000,0.0000,-0.6332,0.7740,
3.1555,1.1269,0.0000,0.0000,0.0000,-0.6410,0.7675,
3.1544,1.0689,0.0000,0.0000,0.0000,-0.6834,0.7300,
3.2108,0.8880,0.0000,0.0000,0.0000,-0.7545,0.6563,
3.1673,0.8990,0.0000,0.0000,0.0000,-0.7839,0.6208,
3.1557,0.8442,0.0000,0.0000,0.0000,-0.8286,0.5599,
3.1340,0.7929,0.0000,0.0000,0.0000,-0.8729,0.4879,
3.0552,0.6542,0.0000,0.0000,0.0000,-0.8974,0.4412,
3.0083,0.5630,0.0000,0.0000,0.0000,-0.9281,0.3722,
2.9097,0.4803,0.0000,0.0000,0.0000,-0.9432,0.3321,
2.8078,0.4156,0.0000,0.0000,0.0000,-0.9728,0.2317,
2.7273,0.3976,0.0000,0.0000,0.0000,-0.9858,0.1678,
2.6219,0.3635,0.0000,0.0000,0.0000,-0.9882,0.1530,
2.5278,0.3265,0.0000,0.0000,0.0000,-0.9908,0.1351,
2.4070,0.2938,0.0000,0.0000,0.0000,-0.9927,0.1202,
2.3104,0.2795,0.0000,0.0000,0.0000,-0.9919,0.1268,
2.2069,0.2543,0.0000,0.0000,0.0000,-0.9972,0.0749,
2.1237,0.2493,0.0000,0.0000,0.0000,-0.9998,0.0198,
2.0362,0.2522,0.0000,0.0000,0.0000,0.9991,0.0422,
1.9042,0.2663,0.0000,0.0000,0.0000,0.9956,0.0933,
1.7897,0.2764,0.0000,0.0000,0.0000,0.9885,0.1511,
1.6906,0.2997,0.0000,0.0000,0.0000,0.9768,0.2144,
1.6400,0.3249,0.0000,0.0000,0.0000,0.9614,0.2751,
1.5806,0.3503,0.0000,0.0000,0.0000,0.9384,0.3455,
1.5630,0.3759,0.0000,0.0000,0.0000,0.9156,0.4021,
1.5353,0.4248,0.0000,0.0000,0.0000,0.8804,0.4743,
